"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Itaoca (SP)","SP","1","1.587","63,0"
"São Gabriel (RS)","RS","20","31.747","63,0"
"Lagoa Dourada (MG)","MG","4","6.351","63,0"
"Potiraguá (BA)","BA","2","3.178","62,9"
"Rolim de Moura (RO)","RO","18","28.605","62,9"
"Mantena (MG)","MG","9","14.307","62,9"
"Guapimirim (RJ)","RJ","20","31.819","62,9"
"Santa Rosa da Serra (MG)","MG","1","1.591","62,9"
"São José do Jacuri (MG)","MG","2","3.187","62,8"
"Vila Velha (ES)","ES","165","263.027","62,7"
"Itapemirim (ES)","ES","11","17.553","62,7"
"Juazeiro (BA)","BA","71","113.316","62,7"
"Mafra (SC)","SC","18","28.754","62,6"
"Ribeira (SP)","SP","1","1.598","62,6"
"Barbalha (CE)","CE","20","31.964","62,6"
"Jerônimo Monteiro (ES)","ES","4","6.393","62,6"
"Candiota (RS)","RS","3","4.799","62,5"
"Alto Santo (CE)","CE","5","7.999","62,5"
"Ituporanga (SC)","SC","8","12.802","62,5"
"Panorama (SP)","SP","5","8.007","62,4"
"Areal (RJ)","RJ","4","6.406","62,4"
"Itu (SP)","SP","56","89.739","62,4"
"São Leopoldo (RS)","RS","77","123.411","62,4"
"Ibiraçu (ES)","ES","4","6.414","62,4"
"Jardim do Seridó (RN)","RN","4","6.415","62,4"
"Senador Pompeu (CE)","CE","8","12.834","62,3"
"Campo Grande (MS)","MS","296","474.879","62,3"
"João Dourado (BA)","BA","8","12.855","62,2"
"Caetés (PE)","PE","9","14.482","62,1"
"Mundo Novo (MS)","MS","6","9.656","62,1"
"Indaiatuba (SP)","SP","81","130.531","62,1"
"Ubaitaba (BA)","BA","6","9.677","62,0"
"Gália (SP)","SP","2","3.228","62,0"
"Matipó (MG)","MG","6","9.685","62,0"
"Verdejante (PE)","PE","3","4.843","61,9"
"Patos de Minas (MG)","MG","49","79.132","61,9"
"Carneiros (AL)","AL","3","4.845","61,9"
"Cachoeiro de Itapemirim (ES)","ES","67","108.225","61,9"
"Caaporã (PB)","PB","7","11.310","61,9"
"Capão do Leão (RS)","RS","8","12.937","61,8"
"Feira Grande (AL)","AL","7","11.321","61,8"
"São José do Campestre (RN)","RN","4","6.471","61,8"
"Bom Sucesso do Sul (PR)","PR","1","1.618","61,8"
"Mendes (RJ)","RJ","6","9.708","61,8"
"Guajeru (BA)","BA","2","3.240","61,7"
"Parambu (CE)","CE","10","16.209","61,7"
"Leandro Ferreira (MG)","MG","1","1.621","61,7"
"São Valentim (RS)","RS","1","1.621","61,7"
"Sacramento (MG)","MG","8","12.971","61,7"
"Itarantim (BA)","BA","6","9.737","61,6"
"Areia Branca (RN)","RN","9","14.607","61,6"
"Anápolis (GO)","GO","125","202.949","61,6"
"Rafael Godeiro (RN)","RN","1","1.625","61,5"
"Itapissuma (PE)","PE","8","13.002","61,5"
"Petrolina (PE)","PE","113","183.874","61,5"
"Águas Mornas (SC)","SC","2","3.257","61,4"
"Colinas do Sul (GO)","GO","1","1.629","61,4"
"São Sebastião do Oeste (MG)","MG","2","3.258","61,4"
"Taquara (RS)","RS","18","29.337","61,4"
"Itaju do Colônia (BA)","BA","2","3.262","61,3"
"Francisco Badaró (MG)","MG","3","4.898","61,2"
"Limoeiro do Norte (CE)","CE","19","31.038","61,2"
"São Pedro do Sul (RS)","RS","5","8.168","61,2"
"Três Coroas (RS)","RS","9","14.705","61,2"
"Brejo dos Santos (PB)","PB","2","3.269","61,2"
"Vale do Paraíso (RO)","RO","2","3.269","61,2"
"Carneirinho (MG)","MG","3","4.908","61,1"
"Mineiros do Tietê (SP)","SP","4","6.544","61,1"
"Guaxupé (MG)","MG","16","26.179","61,1"
"Wenceslau Braz (PR)","PR","6","9.824","61,1"
"Potim (SP)","SP","6","9.824","61,1"
"Ibimirim (PE)","PE","9","14.756","61,0"
"Itaquaquecetuba (SP)","SP","118","193.485","61,0"
"Pongaí (SP)","SP","1","1.640","61,0"
"Palmeiras do Tocantins (TO)","TO","2","3.283","60,9"
"Parnaíba (PI)","PI","49","80.468","60,9"
"Lauro de Freitas (BA)","BA","65","106.771","60,9"
"Ipê (RS)","RS","2","3.286","60,9"
"Nova Bréscia (RS)","RS","1","1.643","60,9"
"Balsa Nova (PR)","PR","4","6.574","60,8"
"Guaramirim (SC)","SC","14","23.013","60,8"
"Santa Amélia (PR)","PR","1","1.644","60,8"
"Morro Redondo (RS)","RS","2","3.288","60,8"
"Piripá (BA)","BA","3","4.937","60,8"
"Nova União (RO)","RO","2","3.292","60,8"
"Passira (PE)","PE","9","14.817","60,7"
"Pesqueira (PE)","PE","21","34.604","60,7"
"Esmeraldas (MG)","MG","22","36.259","60,7"
"Espigão D'Oeste (RO)","RO","10","16.483","60,7"
"Planalto (RS)","RS","3","4.947","60,6"
"Rolândia (PR)","PR","21","34.635","60,6"
"Apodi (RN)","RN","11","18.143","60,6"
"Bom Jesus do Sul (PR)","PR","1","1.650","60,6"
"Fazenda Rio Grande (PR)","PR","32","52.807","60,6"
"Candeias (BA)","BA","28","46.265","60,5"
"Novo Oriente do Piauí (PI)","PI","2","3.308","60,5"
"São Pedro de Alcântara (SC)","SC","1","1.655","60,4"
"Gaspar (SC)","SC","22","36.428","60,4"
"Anhembi (SP)","SP","2","3.312","60,4"
"Buri (SP)","SP","6","9.938","60,4"
"São José dos Pinhais (PR)","PR","103","170.620","60,4"
"Cipotânea (MG)","MG","2","3.314","60,4"
"Sandolândia (TO)","TO","1","1.657","60,4"
"Independência (CE)","CE","8","13.257","60,3"
"Morro Reuter (RS)","RS","2","3.315","60,3"
"São Carlos (SP)","SP","79","130.959","60,3"
"Imbaú (PR)","PR","4","6.632","60,3"
"Bandeirantes do Tocantins (TO)","TO","1","1.658","60,3"
"Alfredo Wagner (SC)","SC","3","4.981","60,2"
"Montes Claros (MG)","MG","130","215.953","60,2"
"São Mateus (ES)","ES","41","68.115","60,2"
"Chapecó (SC)","SC","69","114.637","60,2"
"Corumbiara (RO)","RO","2","3.325","60,2"
"Santa Maria (RS)","RS","90","149.632","60,1"
"Goioerê (PR)","PR","9","14.972","60,1"
"Sertanópolis (PR)","PR","5","8.320","60,1"
"Petrópolis (RJ)","RJ","97","161.485","60,1"
"Catanduva (SP)","SP","38","63.277","60,1"
"Manduri (SP)","SP","3","4.997","60,0"
"São Félix de Minas (MG)","MG","1","1.666","60,0"
"Santo Antônio de Pádua (RJ)","RJ","13","21.690","59,9"
"Pindobaçu (BA)","BA","6","10.012","59,9"
"Boa Vista do Buricá (RS)","RS","2","3.339","59,9"
"Valença (RJ)","RJ","24","40.077","59,9"
"Barrinha (SP)","SP","10","16.701","59,9"
"São Vicente (RN)","RN","2","3.343","59,8"
"Paranã (TO)","TO","3","5.016","59,8"
"Mandaguaçu (PR)","PR","7","11.715","59,8"
"Pato Branco (PR)","PR","26","43.539","59,7"
"Ibitiúra de Minas (MG)","MG","1","1.675","59,7"
"São Luiz Gonzaga (RS)","RS","10","16.750","59,7"
"Conceição das Alagoas (MG)","MG","8","13.403","59,7"
"Oriente (SP)","SP","2","3.351","59,7"
"Anchieta (ES)","ES","9","15.083","59,7"
"Nova Olímpia (MT)","MT","6","10.061","59,6"
"Matupá (MT)","MT","5","8.386","59,6"
"Capim Branco (MG)","MG","3","5.034","59,6"
"Tumiritinga (MG)","MG","2","3.356","59,6"
"Janaúba (MG)","MG","22","36.942","59,6"
"Corrente (PI)","PI","8","13.434","59,6"
"Cantagalo (RJ)","RJ","6","10.079","59,5"
"Nova Londrina (PR)","PR","4","6.730","59,4"
"Augusto Pestana (RS)","RS","2","3.365","59,4"
"Botuporã (BA)","BA","3","5.050","59,4"
"Almas (TO)","TO","2","3.367","59,4"
"Santo Antônio das Missões (RS)","RS","3","5.052","59,4"
"Cambé (PR)","PR","33","55.582","59,4"
"São José dos Ausentes (RS)","RS","1","1.685","59,3"
"Canela (RS)","RS","14","23.615","59,3"
"Franca (SP)","SP","109","183.983","59,2"
"Itapitanga (BA)","BA","3","5.064","59,2"
"Três Corações (MG)","MG","24","40.516","59,2"
"Goioxim (PR)","PR","2","3.377","59,2"
"Mangueirinha (PR)","PR","5","8.443","59,2"
"Tocantins (MG)","MG","5","8.450","59,2"
"Santa Brígida (BA)","BA","4","6.763","59,1"
"Tatuí (SP)","SP","37","62.575","59,1"
"Pimenta Bueno (RO)","RO","11","18.606","59,1"
"Bataguassu (MS)","MS","7","11.856","59,0"
"Miguel Pereira (RJ)","RJ","8","13.553","59,0"
"Barbacena (MG)","MG","43","72.905","59,0"
"Encantado (RS)","RS","7","11.873","59,0"
"Massaranduba (SC)","SC","5","8.481","59,0"
"Nova Veneza (GO)","GO","3","5.089","59,0"
"Cerquilho (SP)","SP","15","25.445","59,0"
"Catolândia (BA)","BA","1","1.697","58,9"
"Salesópolis (SP)","SP","5","8.491","58,9"
"Sooretama (ES)","ES","9","15.294","58,8"
"Lajeado (RS)","RS","26","44.191","58,8"
"Fernandes Tourinho (MG)","MG","1","1.700","58,8"
"Jumirim (SP)","SP","1","1.700","58,8"
"Erval Seco (RS)","RS","2","3.402","58,8"
"Galiléia (MG)","MG","2","3.403","58,8"
"Registro (SP)","SP","17","28.938","58,7"
"Uberlândia (MG)","MG","212","360.948","58,7"
"Valentim Gentil (SP)","SP","4","6.811","58,7"
"São Carlos do Ivaí (PR)","PR","2","3.408","58,7"
"Penha (SC)","SC","10","17.048","58,7"
"Medianeira (PR)","PR","14","23.875","58,6"
"Hidrolina (GO)","GO","1","1.706","58,6"
"Guarujá (SP)","SP","98","167.269","58,6"
"São José do Norte (RS)","RS","8","13.656","58,6"
"Turuçu (RS)","RS","1","1.707","58,6"
"Pombal (PB)","PB","10","17.081","58,5"
"Condado (PB)","PB","2","3.418","58,5"
"Raul Soares (MG)","MG","7","11.969","58,5"
"Conceição do Mato Dentro (MG)","MG","5","8.556","58,4"
"Grossos (RN)","RN","3","5.138","58,4"
"Buenópolis (MG)","MG","3","5.140","58,4"
"Barão de Antonina (SP)","SP","1","1.714","58,3"
"Sarapuí (SP)","SP","3","5.143","58,3"
"Iraí (RS)","RS","2","3.430","58,3"
"Carmo do Rio Claro (MG)","MG","6","10.291","58,3"
"Alhandra (PB)","PB","6","10.291","58,3"
"Palmeira (PR)","PR","10","17.166","58,3"
"Senhora do Porto (MG)","MG","1","1.718","58,2"
"Figueirópolis D'Oeste (MT)","MT","1","1.718","58,2"
"Atalaia (AL)","AL","14","24.069","58,2"
"Tucano (BA)","BA","15","25.820","58,1"
"Promissão (SP)","SP","12","20.666","58,1"
"Maragogipe (BA)","BA","13","22.389","58,1"
"Passa e Fica (RN)","RN","4","6.893","58,0"
"Ibirité (MG)","MG","55","94.782","58,0"
"Guarulhos (SP)","SP","419","722.327","58,0"
"Estrela do Indaiá (MG)","MG","1","1.724","58,0"
"Prudentópolis (PR)","PR","15","25.860","58,0"
"Belém do São Francisco (PE)","PE","6","10.346","58,0"
"Simões Filho (BA)","BA","41","70.705","58,0"
"Itaguaçu (ES)","ES","4","6.903","57,9"
"Quintana (SP)","SP","2","3.452","57,9"
"Caçapava do Sul (RS)","RS","10","17.261","57,9"
"Sinop (MT)","MT","43","74.238","57,9"
"Itaobim (MG)","MG","6","10.360","57,9"
"Americana (SP)","SP","72","124.394","57,9"
"Pratinha (MG)","MG","1","1.728","57,9"
"Elisiário (SP)","SP","1","1.728","57,9"
"Ponte Nova (MG)","MG","18","31.107","57,9"
"Ourolândia (BA)","BA","5","8.646","57,8"
"Vitória da Conquista (BA)","BA","104","179.847","57,8"
"Divisa Alegre (MG)","MG","2","3.459","57,8"
"Ponte Alta do Norte (SC)","SC","1","1.730","57,8"
"Dois Vizinhos (PR)","PR","12","20.761","57,8"
"Salgueiro (PE)","PE","18","31.205","57,7"
"Guadalupe (PI)","PI","3","5.201","57,7"
"Branquinha (AL)","AL","3","5.209","57,6"
"Presidente Juscelino (MG)","MG","1","1.737","57,6"
"Jundiaí (SP)","SP","126","218.878","57,6"
"Amaral Ferrador (RS)","RS","2","3.477","57,5"
"Araçu (GO)","GO","1","1.739","57,5"
"Alexandria (RN)","RN","4","6.958","57,5"
"Tanguá (RJ)","RJ","10","17.407","57,4"
"Araputanga (MT)","MT","5","8.706","57,4"
"Conchal (SP)","SP","8","13.940","57,4"
"Eusébio (CE)","CE","16","27.882","57,4"
"Concórdia (SC)","SC","22","38.391","57,3"
"Sucupira do Norte (MA)","MA","3","5.239","57,3"
"Quedas do Iguaçu (PR)","PR","10","17.479","57,2"
"Gramado (RS)","RS","11","19.228","57,2"
"Pirpirituba (PB)","PB","3","5.245","57,2"
"Nova Brasilândia (MT)","MT","1","1.749","57,2"
"Alexânia (GO)","GO","8","13.995","57,2"
"Conceição da Barra (ES)","ES","9","15.749","57,1"
"Dirceu Arcoverde (PI)","PI","2","3.503","57,1"
"Reduto (MG)","MG","2","3.507","57,0"
"Espírito Santo (RN)","RN","3","5.264","57,0"
"Caçador (SC)","SC","23","40.454","56,9"
"Paraíso do Tocantins (TO)","TO","15","26.386","56,8"
"Itabuna (BA)","BA","65","114.369","56,8"
"Santa Cruz do Arari (PA)","PA","3","5.280","56,8"
"Belém do Piauí (PI)","PI","1","1.760","56,8"
"Cachoeira (BA)","BA","10","17.624","56,7"
"Riachuelo (SE)","SE","3","5.288","56,7"
"Flores da Cunha (RS)","RS","9","15.874","56,7"
"Treze de Maio (SC)","SC","2","3.530","56,7"
"Itapiratins (TO)","TO","1","1.765","56,7"
"Resplendor (MG)","MG","5","8.826","56,7"
"São Vicente do Seridó (PB)","PB","3","5.297","56,6"
"São José da Lapa (MG)","MG","7","12.370","56,6"
"Arara (PB)","PB","4","7.073","56,6"
"Itapecerica da Serra (SP)","SP","50","88.420","56,5"
"Maracaí (SP)","SP","4","7.074","56,5"
"Pajeú do Piauí (PI)","PI","1","1.769","56,5"
"Magé (RJ)","RJ","72","127.418","56,5"
"Puxinanã (PB)","PB","4","7.085","56,5"
"Cabrobó (PE)","PE","10","17.713","56,5"
"Jandira (SP)","SP","37","65.553","56,4"
"Alto Rio Doce (MG)","MG","3","5.316","56,4"
"Pelotas (RS)","RS","103","182.581","56,4"
"Maruim (SE)","SE","5","8.880","56,3"
"Emas (PB)","PB","1","1.777","56,3"
"Bastos (SP)","SP","6","10.665","56,3"
"Iporá (GO)","GO","9","16.000","56,2"
"Rio Grande (RS)","RS","62","110.325","56,2"
"São Fidélis (RJ)","RJ","11","19.576","56,2"
"São Sebastião do Passé (BA)","BA","13","23.150","56,2"
"São João do Itaperiú (SC)","SC","1","1.782","56,1"
"Ilhota (SC)","SC","4","7.133","56,1"
"Carlópolis (PR)","PR","4","7.139","56,0"
"Lagoa Formosa (MG)","MG","5","8.928","56,0"
"Farroupilha (RS)","RS","21","37.511","56,0"
"Sapucaia do Sul (RS)","RS","41","73.256","56,0"
"Camamu (BA)","BA","10","17.868","56,0"
"Brasília (DF)","DF","899","1.607.130","55,9"
"Paraíba do Sul (RJ)","RJ","13","23.249","55,9"
"Alterosa (MG)","MG","4","7.154","55,9"
"Itabaiana (PB)","PB","7","12.520","55,9"
"Caldas (MG)","MG","4","7.161","55,9"
"Pintópolis (MG)","MG","2","3.582","55,8"
"Barão do Triunfo (RS)","RS","2","3.582","55,8"
"Ibiúna (SP)","SP","22","39.439","55,8"
"São Miguel do Araguaia (GO)","GO","6","10.757","55,8"
"Taquarussu (MS)","MS","1","1.793","55,8"
"Mercês (MG)","MG","3","5.383","55,7"
"São Brás (AL)","AL","2","3.590","55,7"
"Segredo (RS)","RS","2","3.590","55,7"
"Água Doce do Norte (ES)","ES","3","5.387","55,7"
"Santa Bárbara (MG)","MG","9","16.164","55,7"
"Missal (PR)","PR","3","5.388","55,7"
"Presidente Venceslau (SP)","SP","11","19.770","55,6"
"Ijuí (RS)","RS","24","43.149","55,6"
"Cotiporã (RS)","RS","1","1.798","55,6"
"Presidente Kennedy (TO)","TO","1","1.798","55,6"
"Ererê (CE)","CE","2","3.597","55,6"
"Novo Horizonte do Sul (MS)","MS","1","1.800","55,6"
"Araçatuba (SP)","SP","57","102.719","55,5"
"Ribeiro Gonçalves (PI)","PI","2","3.606","55,5"
"Aguaí (SP)","SP","10","18.030","55,5"
"Garibaldi (RS)","RS","10","18.034","55,5"
"Montalvânia (MG)","MG","4","7.215","55,4"
"Jacutinga (RS)","RS","1","1.804","55,4"
"Francisco Morato (SP)","SP","50","90.203","55,4"
"Doutor Severiano (RN)","RN","2","3.609","55,4"
"Meleiro (SC)","SC","2","3.609","55,4"
"Tijucas (SC)","SC","11","19.855","55,4"
"Iuiu (BA)","BA","3","5.416","55,4"
"Tupaciguara (MG)","MG","7","12.653","55,3"
"Carvalhópolis (MG)","MG","1","1.808","55,3"
"General Maynard (SE)","SE","1","1.809","55,3"
"São Joaquim do Monte (PE)","PE","6","10.855","55,3"
"Paranhos (MS)","MS","4","7.239","55,3"
"Juripiranga (PB)","PB","3","5.430","55,2"
"Seberi (RS)","RS","3","5.431","55,2"
"Conceição do Coité (BA)","BA","19","34.410","55,2"
"Mangaratiba (RJ)","RJ","13","23.546","55,2"
"Marmeleiro (PR)","PR","4","7.251","55,2"
"Guapiaçu (SP)","SP","6","10.882","55,1"
"Afonso Bezerra (RN)","RN","3","5.442","55,1"
"Calçado (PE)","PE","3","5.444","55,1"
"Urussanga (SC)","SC","6","10.888","55,1"
"São Miguel das Missões (RS)","RS","2","3.630","55,1"
"Iracema (CE)","CE","4","7.261","55,1"
"Caravelas (BA)","BA","6","10.898","55,1"
"Muquém do São Francisco (BA)","BA","3","5.449","55,1"
"São Tiago (MG)","MG","3","5.450","55,0"
"Indaiabira (MG)","MG","2","3.635","55,0"
"Camboriú (SC)","SC","24","43.628","55,0"
"Santa Fé de Minas (MG)","MG","1","1.819","55,0"
"Campina do Simão (PR)","PR","1","1.820","54,9"
"Aracati (CE)","CE","21","38.227","54,9"
"São José da Barra (MG)","MG","2","3.641","54,9"
"Fortaleza (CE)","CE","793","1.443.677","54,9"
"Cachoeira de Minas (MG)","MG","3","5.462","54,9"
"Quadra (SP)","SP","1","1.823","54,9"
"Cajueiro (AL)","AL","6","10.944","54,8"
"São Cristóvão (SE)","SE","26","47.424","54,8"
"Manaíra (PB)","PB","3","5.474","54,8"
"Santa Maria de Itabira (MG)","MG","3","5.475","54,8"
"Itirapina (SP)","SP","4","7.303","54,8"
"Barra do Turvo (SP)","SP","2","3.652","54,8"
"Jardim Alegre (PR)","PR","3","5.489","54,7"
"Paraúna (GO)","GO","3","5.491","54,6"
"Bonito de Minas (MG)","MG","3","5.494","54,6"
"Ituiutaba (MG)","MG","29","53.110","54,6"
"Medeiros (MG)","MG","1","1.833","54,6"
"Serra Redonda (PB)","PB","2","3.667","54,5"
"Rio Piracicaba (MG)","MG","4","7.343","54,5"
"Bayeux (PB)","PB","28","51.404","54,5"
"Macedônia (SP)","SP","1","1.838","54,4"
"São Tomé (RN)","RN","3","5.515","54,4"
"Delmiro Gouveia (AL)","AL","15","27.576","54,4"
"Ibiraiaras (RS)","RS","2","3.677","54,4"
"Chapadão do Sul (MS)","MS","7","12.875","54,4"
"Ipaussu (SP)","SP","4","7.358","54,4"
"Caxias (MA)","MA","47","86.477","54,3"
"Santa Maria de Jetibá (ES)","ES","11","20.257","54,3"
"Xaxim (SC)","SC","8","14.735","54,3"
"João Monlevade (MG)","MG","23","42.366","54,3"
"Vespasiano (MG)","MG","37","68.167","54,3"
"Rio Azul (PR)","PR","4","7.371","54,3"
"Joviânia (GO)","GO","2","3.687","54,2"
"Encruzilhada do Sul (RS)","RS","7","12.906","54,2"
"Correntes (PE)","PE","5","9.227","54,2"
"Sertãozinho (SP)","SP","35","64.668","54,1"
"Nova Russas (CE)","CE","9","16.631","54,1"
"Maraial (PE)","PE","3","5.547","54,1"
"Cubatão (SP)","SP","36","66.588","54,1"
"Jacaraú (PB)","PB","4","7.399","54,1"
"Pedro Velho (RN)","RN","4","7.399","54,1"
"Itambé (BA)","BA","6","11.100","54,1"
"Caçu (GO)","GO","4","7.401","54,0"
"Mineiros (GO)","GO","18","33.314","54,0"
"Nazaré (BA)","BA","8","14.809","54,0"
"Rio Claro (RJ)","RJ","5","9.259","54,0"
"Alcobaça (BA)","BA","6","11.112","54,0"
"Ji-Paraná (RO)","RO","36","66.688","54,0"
"Agrolândia (SC)","SC","3","5.558","54,0"
"Arroio Grande (RS)","RS","5","9.268","53,9"
"Boqueirão do Leão (RS)","RS","2","3.708","53,9"
"Quissamã (RJ)","RJ","7","12.980","53,9"
"Bananal (SP)","SP","3","5.565","53,9"
"Ipuaçu (SC)","SC","2","3.711","53,9"
"Ipiranga (PR)","PR","4","7.427","53,9"
"Montenegro (RS)","RS","18","33.435","53,8"
"Elesbão Veloso (PI)","PI","4","7.431","53,8"
"Amparo (SP)","SP","20","37.170","53,8"
"São José de Mipibu (RN)","RN","12","22.354","53,7"
"Campo Largo (PR)","PR","37","68.952","53,7"
"Caruaru (PE)","PE","104","193.853","53,6"
"Navegantes (SC)","SC","23","42.936","53,6"
"Rio Crespo (RO)","RO","1","1.867","53,6"
"Aurora do Tocantins (TO)","TO","1","1.867","53,6"
"Cocos (BA)","BA","5","9.336","53,6"
"Carlos Chagas (MG)","MG","5","9.340","53,5"
"Carmo do Paranaíba (MG)","MG","8","14.952","53,5"
"Itaguaí (RJ)","RJ","36","67.284","53,5"
"Varjota (CE)","CE","5","9.348","53,5"
"Conceição da Barra de Minas (MG)","MG","1","1.870","53,5"
"Floresta (PE)","PE","9","16.837","53,5"
"Boa Esperança do Sul (SP)","SP","4","7.489","53,4"
"Vacaria (RS)","RS","18","33.729","53,4"
"Reserva (PR)","PR","7","13.127","53,3"
"Três Rios (RJ)","RJ","23","43.138","53,3"
"Balneário Pinhal (RS)","RS","4","7.506","53,3"
"Xavantina (SC)","SC","1","1.877","53,3"
"Bertioga (SP)","SP","18","33.799","53,3"
"Campina Grande do Sul (PR)","PR","12","22.567","53,2"
"Brejinho (PE)","PE","2","3.763","53,1"
"Vera (MT)","MT","3","5.648","53,1"
"Quitandinha (PR)","PR","5","9.414","53,1"
"Guatapará (SP)","SP","2","3.766","53,1"
"Redenção da Serra (SP)","SP","1","1.883","53,1"
"Primavera do Leste (MT)","MT","17","32.021","53,1"
"Álvaro de Carvalho (SP)","SP","1","1.886","53,0"
"Santo Antônio do Amparo (MG)","MG","5","9.431","53,0"
"Sonora (MS)","MS","5","9.436","53,0"
"Suzano (SP)","SP","82","154.869","52,9"
"Tarumã (SP)","SP","4","7.555","52,9"
"Santa Luzia do Norte (AL)","AL","2","3.781","52,9"
"Rancharia (SP)","SP","8","15.126","52,9"
"Santo André (SP)","SP","199","376.346","52,9"
"Sobradinho (RS)","RS","4","7.567","52,9"
"Diogo de Vasconcelos (MG)","MG","1","1.892","52,9"
"Itutinga (MG)","MG","1","1.892","52,9"
"Carmo de Minas (MG)","MG","4","7.571","52,8"
"Groaíras (CE)","CE","3","5.680","52,8"
"Curiúva (PR)","PR","4","7.575","52,8"
"São Sebastião do Caí (RS)","RS","7","13.270","52,8"
"Ecoporanga (ES)","ES","6","11.375","52,7"
"Itobi (SP)","SP","2","3.795","52,7"
"São Roque (SP)","SP","25","47.498","52,6"
"São Miguel do Guaporé (RO)","RO","6","11.404","52,6"
"Vertente do Lério (PE)","PE","2","3.802","52,6"
"Picuí (PB)","PB","5","9.508","52,6"
"São Gonçalo do Amarante (RN)","RN","28","53.256","52,6"
"Maravilha (SC)","SC","7","13.320","52,6"
"Leopoldo de Bulhões (GO)","GO","2","3.806","52,5"
"Berilo (MG)","MG","3","5.709","52,5"
"Alvorada do Sul (PR)","PR","3","5.710","52,5"
"São José do Divino (MG)","MG","1","1.904","52,5"
"Areado (MG)","MG","4","7.623","52,5"
"Araçariguama (SP)","SP","6","11.435","52,5"
"Lajes (RN)","RN","3","5.718","52,5"
"Jaboticabal (SP)","SP","21","40.049","52,4"
"São Caitano (PE)","PE","10","19.076","52,4"
"Santa Vitória (MG)","MG","5","9.542","52,4"
"Porto de Pedras (AL)","AL","2","3.819","52,4"
"Barra Velha (SC)","SC","8","15.293","52,3"
"Capitão de Campos (PI)","PI","3","5.742","52,2"
"Chiapetta (RS)","RS","1","1.915","52,2"
"Nova Veneza (SC)","SC","4","7.665","52,2"
"Colorado do Oeste (RO)","RO","4","7.667","52,2"
